summary_nr,Event Date,Abstract Text,Event Description,Event Keywords,con_end,Construction End Use,build_stor,Building Stories,proj_cost,Project Cost,proj_type,Project Type,Degree of Injury,nature_of_inj,Nature of Injury,part_of_body,Part of Body,event_type,Event type,evn_factor,Environmental Factor,hum_factor,Human Factor,task_assigned,Task Assigned,hazsub,fat_cause,fall_ht
SYN-CON-0098,2026-02-12,Worker sustained laceration during Pipeline maintenance involving stored pressure.,"During Pipeline maintenance, a worker was exposed to stored pressure. The required controls were not fully established before the task began. The employee sustained laceration and received medical attention. Work was stopped and the area was secured.","pipeline,pressure,isolation",Industrial,Industrial,2,2,2125000,2125000,Pipeline maintenance,Pipeline maintenance,Hospitalized,Laceration,Laceration,Hand,Hand,Caught in/between,Caught in/between,Pressurized process line,Pressurized process line,Pressure isolation not verified,Pressure isolation not verified,Pipeline maintenance,Pipeline maintenance,,Stored pressure release,
SYN-CON-0099,2026-03-15,Worker sustained fracture during Scaffold erection involving fall from elevation.,"During Scaffold erection, a worker was exposed to fall from elevation. The required controls were not fully established before the task began. The employee sustained fracture and received medical attention. Work was stopped and the area was secured.","scaffold,work at height,fall protection",Commercial,Commercial,3,3,2300000,2300000,Scaffold erection,Scaffold erection,Hospitalized,Fracture,Fracture,Arm,Arm,Fall from elevation,Fall from elevation,Incomplete scaffold,Incomplete scaffold,Guardrail and fall protection not in place,Guardrail and fall protection not in place,Scaffold erection,Scaffold erection,,Fall from elevation,18
SYN-CON-0100,2026-04-18,Worker sustained chemical burn during Chemical transfer involving toxic chemical exposure.,"During Chemical transfer, a worker was exposed to toxic chemical exposure. The required controls were not fully established before the task began. The employee sustained chemical burn and received medical attention. Work was stopped and the area was secured.","chemical,toxic exposure,transfer",Industrial,Industrial,4,4,2475000,2475000,Chemical transfer,Chemical transfer,Hospitalized,Chemical burn,Chemical burn,Eye,Eye,Exposure to harmful substance,Exposure to harmful substance,Chemical transfer area,Chemical transfer area,Required chemical handling controls not followed,Required chemical handling controls not followed,Chemical transfer,Chemical transfer,Corrosive chemical,Toxic exposure,
SYN-CON-0101,2026-05-21,Worker sustained laceration during Grinding involving flying particles.,"During Grinding, a worker was exposed to flying particles. The required controls were not fully established before the task began. The employee sustained laceration and received medical attention. Work was stopped and the area was secured.","grinding,flying particles,PPE",Industrial,Industrial,5,5,2650000,2650000,Grinding,Grinding,Hospitalized,Laceration,Laceration,Eye,Eye,Struck by object,Struck by object,Grinding station,Grinding station,Machine guard and eye protection not used,Machine guard and eye protection not used,Grinding,Grinding,,Flying object,
SYN-CON-0102,2026-06-24,Worker sustained fracture during Material handling involving falling material.,"During Material handling, a worker was exposed to falling material. The required controls were not fully established before the task began. The employee sustained fracture and received medical attention. Work was stopped and the area was secured.","material handling,struck-by,storage",Warehouse,Warehouse,6,6,2825000,2825000,Material handling,Material handling,Hospitalized,Fracture,Fracture,Shoulder,Shoulder,Struck by object,Struck by object,Unstable stored materials,Unstable stored materials,Exclusion zone was not maintained,Exclusion zone was not maintained,Material handling,Material handling,,Falling material,
SYN-CON-0103,2026-07-27,Worker sustained multiple injuries during Demolition involving structural collapse.,"During Demolition, a worker was exposed to structural collapse. The required controls were not fully established before the task began. The employee sustained multiple injuries and received medical attention. Work was stopped and the area was secured.","demolition,collapse,structural",Commercial,Commercial,1,1,3000000,3000000,Demolition,Demolition,Hospitalized,Multiple injuries,Multiple injuries,Multiple body parts,Multiple body parts,Caught in/between,Caught in/between,Unstable structure,Unstable structure,Structural assessment and exclusion controls inadequate,Structural assessment and exclusion controls inadequate,Demolition,Demolition,,Structural collapse,
SYN-CON-0104,2026-08-02,Worker sustained respiratory impairment during Tank cleaning involving toxic atmosphere.,"During Tank cleaning, a worker was exposed to toxic atmosphere. The required controls were not fully established before the task began. The employee sustained respiratory impairment and received medical attention. Work was stopped and the area was secured.","tank,confined space,toxic gas",Industrial,Industrial,2,2,3175000,3175000,Tank cleaning,Tank cleaning,Hospitalized,Respiratory impairment,Respiratory impairment,Chest,Chest,Exposure to harmful substance,Exposure to harmful substance,Confined tank,Confined tank,Continuous atmospheric monitoring not established,Continuous atmospheric monitoring not established,Tank cleaning,Tank cleaning,H2S,Toxic gas exposure,
SYN-CON-0105,2026-01-05,Worker sustained fracture during MEWP maintenance involving fall from platform.,"During MEWP maintenance, a worker was exposed to fall from platform. The required controls were not fully established before the task began. The employee sustained fracture and received medical attention. Work was stopped and the area was secured.","MEWP,fall protection,elevated work",Industrial,Industrial,3,3,3350000,3350000,MEWP maintenance,MEWP maintenance,Hospitalized,Fracture,Fracture,Leg,Leg,Fall from elevation,Fall from elevation,Elevated platform,Elevated platform,Worker was not properly protected from fall,Worker was not properly protected from fall,MEWP maintenance,MEWP maintenance,,Fall from elevation,15
SYN-CON-0106,2026-02-08,Worker sustained respiratory impairment during Confined space entry involving toxic gas / oxygen deficiency.,"During Confined space entry, a worker was exposed to toxic gas / oxygen deficiency. The required controls were not fully established before the task began. The employee sustained respiratory impairment and received medical attention. Work was stopped and the area was secured.","confined space,H2S,gas testing",Industrial,Industrial,4,4,900000,900000,Confined space entry,Confined space entry,Hospitalized,Respiratory impairment,Respiratory impairment,Chest,Chest,Exposure to harmful substance,Exposure to harmful substance,Confined atmosphere,Confined atmosphere,Atmospheric testing not performed,Atmospheric testing not performed,Confined space inspection,Confined space inspection,Hydrogen sulfide,Toxic gas exposure,
SYN-CON-0107,2026-03-11,Worker sustained burn during Electrical maintenance involving unexpected electrical energy.,"During Electrical maintenance, a worker was exposed to unexpected electrical energy. The required controls were not fully established before the task began. The employee sustained burn and received medical attention. Work was stopped and the area was secured.","electrical,LOTO,energy isolation",Industrial,Industrial,5,5,1075000,1075000,Electrical maintenance,Electrical maintenance,Hospitalized,Burn,Burn,Arm,Arm,Contact with electrical energy,Contact with electrical energy,Energized equipment,Energized equipment,Lockout/tagout not followed,Lockout/tagout not followed,Electrical maintenance,Electrical maintenance,,Electrical contact,
SYN-CON-0108,2026-04-14,Worker sustained fracture during Crane lifting involving suspended load.,"During Crane lifting, a worker was exposed to suspended load. The required controls were not fully established before the task began. The employee sustained fracture and received medical attention. Work was stopped and the area was secured.","crane,suspended load,lifting",Industrial,Industrial,6,6,1250000,1250000,Crane lifting,Crane lifting,Hospitalized,Fracture,Fracture,Leg,Leg,Struck by object,Struck by object,Active lifting area,Active lifting area,Worker entered exclusion zone,Worker entered exclusion zone,Equipment lifting,Equipment lifting,,Struck by falling object,
SYN-CON-0109,2026-05-17,Worker sustained multiple injuries during Roof installation involving fall from elevation.,"During Roof installation, a worker was exposed to fall from elevation. The required controls were not fully established before the task began. The employee sustained multiple injuries and received medical attention. Work was stopped and the area was secured.","roof,fall hazard,fall protection",Commercial,Commercial,1,1,1425000,1425000,Roof installation,Roof installation,Hospitalized,Multiple injuries,Multiple injuries,Multiple body parts,Multiple body parts,Fall from elevation,Fall from elevation,Elevated work area,Elevated work area,Fall protection not used,Fall protection not used,Roof installation,Roof installation,,Fall from elevation,25
SYN-CON-0110,2026-06-20,Worker sustained burn during Hot work involving flammable vapor.,"During Hot work, a worker was exposed to flammable vapor. The required controls were not fully established before the task began. The employee sustained burn and received medical attention. Work was stopped and the area was secured.","hot work,welding,gas test,fire",Industrial,Industrial,2,2,1600000,1600000,Hot work,Hot work,Hospitalized,Burn,Burn,Arm,Arm,Fire or explosion,Fire or explosion,Potentially flammable atmosphere,Potentially flammable atmosphere,Hot work permit and gas testing not verified,Hot work permit and gas testing not verified,Hot work,Hot work,Flammable hydrocarbons,Fire/explosion,
SYN-CON-0111,2026-07-23,Worker sustained fracture during Excavation work involving cave-in.,"During Excavation work, a worker was exposed to cave-in. The required controls were not fully established before the task began. The employee sustained fracture and received medical attention. Work was stopped and the area was secured.","excavation,trench,collapse",Infrastructure,Infrastructure,3,3,1775000,1775000,Excavation work,Excavation work,Hospitalized,Fracture,Fracture,Leg,Leg,Cave-in,Cave-in,Unstable excavation walls,Unstable excavation walls,Worker entered excavation without adequate protection,Worker entered excavation without adequate protection,Excavation work,Excavation work,,Cave-in,12
SYN-CON-0112,2026-08-26,Worker sustained traumatic injury during Forklift operation involving vehicle-pedestrian interaction.,"During Forklift operation, a worker was exposed to vehicle-pedestrian interaction. The required controls were not fully established before the task began. The employee sustained traumatic injury and received medical attention. Work was stopped and the area was secured.","forklift,vehicle,line of fire",Warehouse,Warehouse,4,4,1950000,1950000,Forklift operation,Forklift operation,Hospitalized,Traumatic injury,Traumatic injury,Head,Head,Struck by object,Struck by object,Congested loading area,Congested loading area,Pedestrian entered vehicle operating zone,Pedestrian entered vehicle operating zone,Material handling,Material handling,,Vehicle-pedestrian interaction,
SYN-CON-0113,2026-01-01,Worker sustained laceration during Pipeline maintenance involving stored pressure.,"During Pipeline maintenance, a worker was exposed to stored pressure. The required controls were not fully established before the task began. The employee sustained laceration and received medical attention. Work was stopped and the area was secured.","pipeline,pressure,isolation",Industrial,Industrial,5,5,2125000,2125000,Pipeline maintenance,Pipeline maintenance,Hospitalized,Laceration,Laceration,Hand,Hand,Caught in/between,Caught in/between,Pressurized process line,Pressurized process line,Pressure isolation not verified,Pressure isolation not verified,Pipeline maintenance,Pipeline maintenance,,Stored pressure release,
SYN-CON-0114,2026-02-04,Worker sustained fracture during Scaffold erection involving fall from elevation.,"During Scaffold erection, a worker was exposed to fall from elevation. The required controls were not fully established before the task began. The employee sustained fracture and received medical attention. Work was stopped and the area was secured.","scaffold,work at height,fall protection",Commercial,Commercial,6,6,2300000,2300000,Scaffold erection,Scaffold erection,Hospitalized,Fracture,Fracture,Arm,Arm,Fall from elevation,Fall from elevation,Incomplete scaffold,Incomplete scaffold,Guardrail and fall protection not in place,Guardrail and fall protection not in place,Scaffold erection,Scaffold erection,,Fall from elevation,18
SYN-CON-0115,2026-03-07,Worker sustained chemical burn during Chemical transfer involving toxic chemical exposure.,"During Chemical transfer, a worker was exposed to toxic chemical exposure. The required controls were not fully established before the task began. The employee sustained chemical burn and received medical attention. Work was stopped and the area was secured.","chemical,toxic exposure,transfer",Industrial,Industrial,1,1,2475000,2475000,Chemical transfer,Chemical transfer,Hospitalized,Chemical burn,Chemical burn,Eye,Eye,Exposure to harmful substance,Exposure to harmful substance,Chemical transfer area,Chemical transfer area,Required chemical handling controls not followed,Required chemical handling controls not followed,Chemical transfer,Chemical transfer,Corrosive chemical,Toxic exposure,
SYN-CON-0116,2026-04-10,Worker sustained laceration during Grinding involving flying particles.,"During Grinding, a worker was exposed to flying particles. The required controls were not fully established before the task began. The employee sustained laceration and received medical attention. Work was stopped and the area was secured.","grinding,flying particles,PPE",Industrial,Industrial,2,2,2650000,2650000,Grinding,Grinding,Hospitalized,Laceration,Laceration,Eye,Eye,Struck by object,Struck by object,Grinding station,Grinding station,Machine guard and eye protection not used,Machine guard and eye protection not used,Grinding,Grinding,,Flying object,
SYN-CON-0117,2026-05-13,Worker sustained fracture during Material handling involving falling material.,"During Material handling, a worker was exposed to falling material. The required controls were not fully established before the task began. The employee sustained fracture and received medical attention. Work was stopped and the area was secured.","material handling,struck-by,storage",Warehouse,Warehouse,3,3,2825000,2825000,Material handling,Material handling,Hospitalized,Fracture,Fracture,Shoulder,Shoulder,Struck by object,Struck by object,Unstable stored materials,Unstable stored materials,Exclusion zone was not maintained,Exclusion zone was not maintained,Material handling,Material handling,,Falling material,
SYN-CON-0118,2026-06-16,Worker sustained multiple injuries during Demolition involving structural collapse.,"During Demolition, a worker was exposed to structural collapse. The required controls were not fully established before the task began. The employee sustained multiple injuries and received medical attention. Work was stopped and the area was secured.","demolition,collapse,structural",Commercial,Commercial,4,4,3000000,3000000,Demolition,Demolition,Hospitalized,Multiple injuries,Multiple injuries,Multiple body parts,Multiple body parts,Caught in/between,Caught in/between,Unstable structure,Unstable structure,Structural assessment and exclusion controls inadequate,Structural assessment and exclusion controls inadequate,Demolition,Demolition,,Structural collapse,
SYN-CON-0119,2026-07-19,Worker sustained respiratory impairment during Tank cleaning involving toxic atmosphere.,"During Tank cleaning, a worker was exposed to toxic atmosphere. The required controls were not fully established before the task began. The employee sustained respiratory impairment and received medical attention. Work was stopped and the area was secured.","tank,confined space,toxic gas",Industrial,Industrial,5,5,3175000,3175000,Tank cleaning,Tank cleaning,Hospitalized,Respiratory impairment,Respiratory impairment,Chest,Chest,Exposure to harmful substance,Exposure to harmful substance,Confined tank,Confined tank,Continuous atmospheric monitoring not established,Continuous atmospheric monitoring not established,Tank cleaning,Tank cleaning,H2S,Toxic gas exposure,
SYN-CON-0120,2026-08-22,Worker sustained fracture during MEWP maintenance involving fall from platform.,"During MEWP maintenance, a worker was exposed to fall from platform. The required controls were not fully established before the task began. The employee sustained fracture and received medical attention. Work was stopped and the area was secured.","MEWP,fall protection,elevated work",Industrial,Industrial,6,6,3350000,3350000,MEWP maintenance,MEWP maintenance,Hospitalized,Fracture,Fracture,Leg,Leg,Fall from elevation,Fall from elevation,Elevated platform,Elevated platform,Worker was not properly protected from fall,Worker was not properly protected from fall,MEWP maintenance,MEWP maintenance,,Fall from elevation,15
